Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Croatia,D,19,MF,Milan Badelj,25/02/1989,29,37,1,Fiorentina,1
Croatia,D,20,FW,Marko Pjaca,06/05/1995,23,16,1,Schalke 04,1
Croatia,D,21,DF,Domagoj Vida,29/04/1989,29,58,2,Beşiktaş,1
Croatia,D,22,DF,Josip Pivarić,30/01/1989,29,19,0,Dynamo Kyiv,1
Croatia,D,23,GK,Danijel Subašić,27/10/1984,33,37,0,Monaco,1
Iceland,D,1,GK,Hannes Þór Halldórsson,27/04/1984,34,48,0,Randers,1
Iceland,D,2,DF,Birkir Már Sævarsson,11/11/1984,33,79,1,Valur,1
Iceland,D,3,MF,Samúel Friðjónsson,22/02/1996,22,4,0,Vålerenga,1
Iceland,D,4,MF,Albert Guðmundsson,15/06/1997,20,5,3,PSV Eindhoven,1
Iceland,D,5,DF,Sverrir Ingi Ingason,05/08/1993,24,19,3,Rostov,1
Iceland,D,6,DF,Ragnar Sigurðsson,19/06/1986,31,76,3,Rostov,1
Iceland,D,7,MF,Jóhann Berg Guðmundsson,27/10/1990,27,66,7,Burnley,1
Iceland,D,8,MF,Birkir Bjarnason,27/05/1988,30,66,9,Aston Villa,1
Iceland,D,9,FW,Björn Bergmann Sigurðarson,26/02/1991,27,11,1,Rostov,1
Iceland,D,10,MF,Gylfi Sigurðsson,08/09/1989,28,56,19,Everton,1
Iceland,D,11,FW,Alfreð Finnbogason,01/02/1989,29,46,12,FC Augsburg,1
Iceland,D,12,GK,Frederik Schram,19/01/1995,23,4,0,Roskilde,1
Iceland,D,13,GK,Rúnar Alex Rúnarsson,18/02/1995,23,3,0,Nordsjælland,1
Iceland,D,14,DF,Kári Árnason,13/10/1982,35,66,4,Aberdeen,1
Iceland,D,15,DF,Hólmar Örn Eyjólfsson,06/08/1990,27,9,1,Levski Sofia,1
Iceland,D,16,MF,Ólafur Ingi Skúlason,01/04/1983,35,35,1,Kardemir Karabükspor,1
Iceland,D,17,MF,Aron Gunnarsson (captain),22/04/1989,29,77,2,Cardiff City,1
Iceland,D,18,DF,Hörður Björgvin Magnússon,11/02/1993,25,16,2,Bristol City,1
Iceland,D,19,MF,Rúrik Gíslason,25/02/1988,30,46,3,SV Sandhausen,1
Iceland,D,20,MF,Emil Hallfreðsson,29/06/1984,33,63,1,Udinese,1
Iceland,D,21,MF,Arnór Ingvi Traustason,30/04/1993,25,18,5,Malmö,1
Iceland,D,22,FW,Jón Daði Böðvarsson,25/05/1992,26,37,2,Reading,1
Iceland,D,23,DF,Ari Freyr Skúlason,14/05/1987,31,55,0,Lokeren,1
Nigeria,D,1,GK,Ikechukwu Ezenwa,16/10/1988,29,24,0,Enyimba,1
Nigeria,D,2,DF,Brian Idowu,18/05/1992,26,4,1,Amkar Perm,1
Nigeria,D,3,DF,Elderson Echiéjilé,20/01/1988,30,61,3,Cercle Brugge,1
Nigeria,D,4,MF,Wilfred Ndidi,16/12/1996,21,16,0,Leicester City,1
Nigeria,D,5,DF,William Troost-Ekong,01/09/1993,24,21,1,Bursaspor,1
Nigeria,D,6,DF,Leon Balogun,28/06/1988,29,18,0,Mainz 05,1
Nigeria,D,7,FW,Ahmed Musa,14/10/1992,25,71,13,CSKA Moscow,1
Nigeria,D,8,MF,Oghenekaro Etebo,09/11/1995,22,14,1,Las Palmas,1
Nigeria,D,9,FW,Odion Ighalo,16/06/1989,28,18,4,Changchun Yatai,1
Nigeria,D,10,MF,John Obi Mikel (captain),22/04/1987,31,84,6,Tianjin TEDA,1
Nigeria,D,11,FW,Victor Moses,12/12/1990,27,33,11,Chelsea,1
Nigeria,D,12,DF,Shehu Abdullahi,12/03/1993,25,24,0,Bursaspor,1
Nigeria,D,13,FW,Simeon Nwankwo,07/05/1992,26,1,0,Crotone,1
Nigeria,D,14,FW,Kelechi Iheanacho,10/03/1996,22,17,8,Leicester City,1
Nigeria,D,15,MF,Joel Obi,22/05/1991,27,17,0,Torino,1
Nigeria,D,16,GK,Daniel Akpeyi,08/03/1986,32,7,0,Chippa United,1
Nigeria,D,17,MF,Ogenyi Onazi,25/12/1992,25,52,1,Trabzonspor,1
Nigeria,D,18,FW,Alex Iwobi,03/05/1996,22,18,5,Arsenal,1
Nigeria,D,19,MF,John Ogu,20/04/1988,30,19,2,Hapoel Be'er Sheva,1
Nigeria,D,20,DF,Chidozie Awaziem,01/01/1997,21,4,0,Nantes,1
Nigeria,D,21,DF,Tyronne Ebuehi,16/12/1995,22,6,0,ADO Den Haag,1
Nigeria,D,22,DF,Kenneth Omeruo,17/10/1993,24,39,0,Kasımpaşa,1
Nigeria,D,23,GK,Francis Uzoho,28/10/1998,19,5,0,Deportivo La Coruña,1
Brazil,E,1,GK,Alisson,02/10/1992,25,25,0,Roma,1
Brazil,E,2,DF,Thiago Silva,22/09/1984,33,70,5,Paris Saint-Germain,1
Brazil,E,3,DF,Miranda,07/09/1984,33,46,2,Inter Milan,1
Brazil,E,4,DF,Pedro Geromel,21/09/1985,32,2,0,Grêmio,1
Brazil,E,5,MF,Casemiro,23/02/1992,26,23,0,Real Madrid,1
Brazil,E,6,DF,Filipe Luís,09/08/1985,32,32,2,Atlético Madrid,1
Brazil,E,7,FW,Douglas Costa,14/09/1990,27,24,3,Juventus,1
Brazil,E,8,MF,Renato Augusto,08/02/1988,30,28,5,Beijing Sinobo Guoan,1
Brazil,E,9,FW,Gabriel Jesus,03/04/1997,21,16,9,Manchester City,1
Brazil,E,10,FW,Neymar,05/02/1992,26,84,54,Paris Saint-Germain,1
Brazil,E,11,MF,Philippe Coutinho,12/06/1992,25,36,9,Barcelona,1
Brazil,E,12,DF,Marcelo,12/05/1988,30,53,6,Real Madrid,1
Brazil,E,13,DF,Marquinhos,14/05/1994,24,25,0,Paris Saint-Germain,1
Brazil,E,14,DF,Danilo,15/07/1991,26,17,0,Manchester City,1
Brazil,E,15,MF,Paulinho,25/07/1988,29,49,12,Barcelona,1
Brazil,E,16,GK,Cássio,06/06/1987,30,1,0,Corinthians,1
Brazil,E,17,MF,Fernandinho,04/05/1985,33,43,2,Manchester City,1
Brazil,E,18,MF,Fred,05/03/1993,25,8,0,Shakhtar Donetsk,1
Brazil,E,19,MF,Willian,09/08/1988,29,56,8,Chelsea,1
Brazil,E,20,FW,Roberto Firmino,02/10/1991,26,20,6,Liverpool,1
Brazil,E,21,FW,Taison,13/01/1988,30,7,1,Shakhtar Donetsk,1
Brazil,E,22,DF,Fagner,11/06/1989,28,4,0,Corinthians,1
Brazil,E,23,GK,Ederson,17/08/1993,24,1,0,Manchester City,1
Costa Rica,E,1,GK,Keylor Navas,15/12/1986,31,79,0,Real Madrid,1
Costa Rica,E,2,DF,Johnny Acosta,21/07/1983,34,68,2,Águilas Doradas,1
Costa Rica,E,3,DF,Giancarlo González,08/02/1988,30,68,2,Bologna,1
Costa Rica,E,4,DF,Ian Smith,06/03/1998,20,2,0,Norrköping,1
Costa Rica,E,5,MF,Celso Borges,27/05/1988,30,111,21,Deportivo La Coruña,1
Costa Rica,E,6,DF,Óscar Duarte,03/06/1989,29,38,2,Espanyol,1
Costa Rica,E,7,MF,Christian Bolaños,17/05/1984,34,79,6,Saprissa,1
Costa Rica,E,8,DF,Bryan Oviedo,18/02/1990,28,42,1,Sunderland,1
Costa Rica,E,9,MF,Daniel Colindres,10/01/1985,33,11,0,Saprissa,1
Costa Rica,E,10,MF,Bryan Ruiz (captain),18/08/1985,32,109,23,Sporting CP,1
Costa Rica,E,11,FW,Johan Venegas,27/11/1988,29,45,10,Saprissa,1
Costa Rica,E,12,FW,Joel Campbell,26/06/1992,25,75,15,Real Betis,1
Costa Rica,E,13,MF,Rodney Wallace,17/06/1988,29,30,4,New York City FC,1
Costa Rica,E,14,MF,Randall Azofeifa,30/12/1984,33,57,3,Herediano,1
Costa Rica,E,15,DF,Francisco Calvo,08/07/1992,25,36,4,Minnesota United,1
Costa Rica,E,16,DF,Cristian Gamboa,24/10/1989,28,66,3,Celtic,1
Costa Rica,E,17,MF,Yeltsin Tejeda,17/03/1992,26,49,0,Lausanne,1
Costa Rica,E,18,GK,Patrick Pemberton,24/04/1982,36,39,0,Alajuelense,1
Costa Rica,E,19,DF,Kendall Waston,01/01/1988,30,25,3,Vancouver Whitecaps FC,1
Costa Rica,E,20,MF,David Guzmán,18/02/1990,28,41,0,Portland Timbers,1
Costa Rica,E,21,FW,Marco Ureña,05/03/1990,28,62,15,Los Angeles FC,1
Costa Rica,E,22,DF,Rónald Matarrita,09/07/1994,23,22,2,New York City FC,1
Costa Rica,E,23,GK,Leonel Moreira,02/04/1990,28,9,0,Herediano,1
Serbia,E,1,GK,Vladimir Stojković,28/07/1983,34,80,0,Partizan,1
Serbia,E,2,DF,Antonio Rukavina,26/01/1984,34,46,0,Villarreal,1
Serbia,E,3,DF,Duško Tošić,19/01/1985,33,23,1,Beşiktaş,1
Serbia,E,4,MF,Luka Milivojević,07/04/1991,27,27,1,Crystal Palace,1
Serbia,E,5,DF,Uroš Spajić,13/02/1993,25,5,0,Anderlecht,1
Serbia,E,6,DF,Branislav Ivanović,22/02/1984,34,102,12,Zenit Saint Petersburg,1
Serbia,E,7,MF,Andrija Živković,11/07/1996,21,10,0,Benfica,1
Serbia,E,8,FW,Aleksandar Prijović,21/04/1990,28,8,1,PAOK,1
Serbia,E,9,FW,Aleksandar Mitrović,16/09/1994,23,36,13,Fulham,1
Serbia,E,10,MF,Dušan Tadić,20/11/1988,29,52,13,Southampton,1
Serbia,E,11,DF,Aleksandar Kolarov (captain),10/11/1985,32,75,10,Roma,1
Serbia,E,12,GK,Predrag Rajković,31/10/1995,22,7,0,Maccabi Tel Aviv,1
Serbia,E,13,DF,Miloš Veljković,26/09/1995,22,2,0,Werder Bremen,1
Serbia,E,14,DF,Milan Rodić,02/04/1991,27,1,0,Red Star Belgrade,1
Serbia,E,15,DF,Nikola Milenković,12/10/1997,20,2,0,Fiorentina,1
Serbia,E,16,MF,Marko Grujić,13/04/1996,22,7,0,Cardiff City,1
Serbia,E,17,MF,Filip Kostić,01/11/1992,25,22,2,Hamburger SV,1
Serbia,E,18,FW,Nemanja Radonjić,15/02/1996,22,2,0,Red Star Belgrade,1
Serbia,E,19,FW,Luka Jović,23/12/1997,20,1,0,Eintracht Frankfurt,1
Serbia,E,20,MF,Sergej Milinković-Savić,27/02/1995,23,3,0,Lazio,1
Serbia,E,21,MF,Nemanja Matić,01/08/1988,29,39,2,Manchester United,1
Serbia,E,22,MF,Adem Ljajić,29/09/1991,26,28,5,Torino,1
Serbia,E,23,GK,Marko Dmitrović,24/01/1992,26,2,0,Eibar,1
Switzerland,E,1,GK,Yann Sommer,17/12/1988,29,35,0,Borussia Mönchengladbach,1
Switzerland,E,2,DF,Stephan Lichtsteiner (captain),16/01/1984,34,99,8,Juventus,1
Switzerland,E,3,DF,François Moubandje,21/06/1990,27,17,0,Toulouse,1
Switzerland,E,4,DF,Nico Elvedi,30/09/1996,21,5,0,Borussia Mönchengladbach,1
Switzerland,E,5,DF,Manuel Akanji,19/07/1995,22,6,0,Borussia Dortmund,1
Switzerland,E,6,DF,Michael Lang,08/02/1991,27,24,2,Basel,1
Switzerland,E,7,FW,Breel Embolo,14/02/1997,21,24,3,Schalke 04,1
Switzerland,E,8,MF,Remo Freuler,15/04/1992,26,9,0,Atalanta,1
Switzerland,E,9,FW,Haris Seferović,22/02/1992,26,50,11,Benfica,1
Switzerland,E,10,MF,Granit Xhaka,27/09/1992,25,61,9,Arsenal,1
Switzerland,E,11,MF,Valon Behrami,19/04/1985,33,78,2,Udinese,1
Switzerland,E,12,GK,Yvon Mvogo,06/06/1994,23,0,0,RB Leipzig,1
Switzerland,E,13,DF,Ricardo Rodríguez,25/08/1992,25,52,4,Milan,1
Switzerland,E,14,MF,Steven Zuber,17/08/1991,26,11,3,1899 Hoffenheim,1
Switzerland,E,15,MF,Blerim Džemaili,12/04/1986,32,64,9,Bologna,1
Switzerland,E,16,MF,Gelson Fernandes,02/09/1986,31,67,2,Eintracht Frankfurt,1
Switzerland,E,17,MF,Denis Zakaria,20/11/1996,21,10,0,Borussia Mönchengladbach,1
Switzerland,E,18,FW,Mario Gavranović,24/11/1989,28,13,5,Dinamo Zagreb,1
Switzerland,E,19,FW,Josip Drmić,08/08/1992,25,28,9,Borussia Mönchengladbach,1
Switzerland,E,20,DF,Johan Djourou,18/01/1987,31,74,2,Antalyaspor,1
Switzerland,E,21,GK,Roman Bürki,14/11/1990,27,8,0,Borussia Dortmund,1
Switzerland,E,22,DF,Fabian Schär,20/12/1991,26,38,7,Deportivo La Coruña,1
Switzerland,E,23,MF,Xherdan Shaqiri,10/10/1991,26,69,20,Stoke City,1
Germany,F,1,GK,Manuel Neuer (captain),27/03/1986,32,75,0,Bayern Munich,1
Germany,F,2,DF,Marvin Plattenhardt,26/01/1992,26,6,0,Hertha BSC,1
Germany,F,3,DF,Jonas Hector,27/05/1990,28,37,3,1. FC Köln,1
Germany,F,4,DF,Matthias Ginter,19/01/1994,24,17,0,Borussia Mönchengladbach,1
Germany,F,5,DF,Mats Hummels,16/12/1988,29,63,5,Bayern Munich,1
Germany,F,6,MF,Sami Khedira,04/04/1987,31,74,7,Juventus,1
Germany,F,7,MF,Julian Draxler,20/09/1993,24,43,6,Paris Saint-Germain,1
Germany,F,8,MF,Toni Kroos,04/01/1990,28,82,12,Real Madrid,1
Germany,F,9,FW,Timo Werner,06/03/1996,22,13,7,RB Leipzig,1
Germany,F,10,MF,Mesut Özil,15/10/1988,29,90,23,Arsenal,1
Germany,F,11,FW,Marco Reus,31/05/1989,29,30,9,Borussia Dortmund,1
Germany,F,12,GK,Kevin Trapp,08/07/1990,27,3,0,Paris Saint-Germain,1
Germany,F,13,MF,Thomas Müller,13/09/1989,28,90,38,Bayern Munich,1
Germany,F,14,MF,Leon Goretzka,06/02/1995,23,15,6,Schalke 04,1
Germany,F,15,DF,Niklas Süle,03/09/1995,22,10,0,Bayern Munich,1
Germany,F,16,DF,Antonio Rüdiger,03/03/1993,25,24,1,Chelsea,1
Germany,F,17,DF,Jérôme Boateng,03/09/1988,29,70,1,Bayern Munich,1
Germany,F,18,DF,Joshua Kimmich,08/02/1995,23,28,3,Bayern Munich,1
Germany,F,19,MF,Sebastian Rudy,28/02/1990,28,25,1,Bayern Munich,1
Germany,F,20,MF,Julian Brandt,02/05/1996,22,15,1,Bayer Leverkusen,1
Germany,F,21,MF,İlkay Gündoğan,24/10/1990,27,25,4,Manchester City,1
Germany,F,22,GK,Marc-André ter Stegen,30/04/1992,26,19,0,Barcelona,1
Germany,F,23,FW,Mario Gómez,10/07/1985,32,74,31,VfB Stuttgart,1
Mexico,F,1,GK,José de Jesús Corona,26/01/1981,37,52,0,Cruz Azul,1
Mexico,F,2,DF,Hugo Ayala,31/03/1987,31,42,1,UANL,1
Mexico,F,3,DF,Carlos Salcedo,29/09/1993,24,20,0,Eintracht Frankfurt,1
Mexico,F,4,DF,Rafael Márquez,13/02/1979,39,144,18,Atlas,1
Mexico,F,5,DF,Diego Reyes,19/09/1992,25,55,1,Porto,1
Mexico,F,6,MF,Jonathan dos Santos,26/04/1990,28,31,0,LA Galaxy,1
Mexico,F,7,MF,Miguel Layún,25/06/1988,29,63,6,Sevilla,1
Mexico,F,8,FW,Marco Fabián,21/07/1989,28,38,9,Eintracht Frankfurt,1
Mexico,F,9,FW,Raúl Jiménez,05/05/1991,27,63,13,Benfica,1
Mexico,F,10,MF,Giovani dos Santos,11/05/1989,29,104,19,LA Galaxy,1
Mexico,F,11,FW,Carlos Vela,01/03/1989,29,68,18,Los Angeles FC,1
Mexico,F,12,GK,Alfredo Talavera,18/09/1982,35,27,0,Toluca,1
Mexico,F,13,GK,Guillermo Ochoa,13/07/1985,32,93,0,Standard Liège,1
Mexico,F,14,FW,Javier Hernández,01/06/1988,30,101,49,West Ham United,1
Mexico,F,15,DF,Héctor Moreno,17/01/1988,30,91,3,Real Sociedad,1
Mexico,F,16,DF,Héctor Herrera,19/04/1990,28,65,5,Porto,1
Mexico,F,17,MF,Jesús Manuel Corona,06/01/1993,25,35,7,Porto,1
Mexico,F,18,MF,Andrés Guardado (captain),28/09/1986,31,144,25,Real Betis,1
Mexico,F,19,FW,Oribe Peralta,12/01/1984,34,66,26,América,1
Mexico,F,20,MF,Javier Aquino,11/02/1990,28,53,0,UANL,1
Mexico,F,21,DF,Edson Álvarez,24/10/1997,20,12,1,América,1
Mexico,F,22,FW,Hirving Lozano,30/07/1995,22,27,7,PSV Eindhoven,1
Mexico,F,23,MF,Jesús Gallardo,15/08/1994,23,22,0,UNAM,1
South Korea,F,1,GK,Kim Seung-gyu,30/09/1990,27,32,0,Vissel Kobe,1
South Korea,F,2,DF,Lee Yong,24/12/1986,31,26,0,Jeonbuk Hyundai Motors,1
South Korea,F,3,DF,Jung Seung-hyun,03/04/1994,24,6,0,Sagan Tosu,1
South Korea,F,4,DF,Oh Ban-suk,20/05/1988,30,2,0,Jeju United,1
South Korea,F,5,DF,Yun Young-sun,04/10/1988,29,5,0,Seongnam FC,1
South Korea,F,6,DF,Park Joo-ho,16/01/1987,31,35,0,Ulsan Hyundai,1
South Korea,F,7,FW,Son Heung-min,08/07/1992,25,65,21,Tottenham Hotspur,1
South Korea,F,8,MF,Ju Se-jong,30/10/1990,27,10,1,Asan Mugunghwa,1
South Korea,F,9,FW,Kim Shin-wook,14/04/1988,30,48,10,Jeonbuk Hyundai Motors,1
South Korea,F,10,MF,Lee Seung-woo,06/01/1998,20,2,0,Hellas Verona,1
South Korea,F,11,FW,Hwang Hee-chan,26/01/1996,22,13,2,Red Bull Salzburg,1
South Korea,F,12,DF,Kim Min-woo,25/02/1990,28,18,1,Sangju Sangmu,1
South Korea,F,13,MF,Koo Ja-cheol,27/02/1989,29,66,19,FC Augsburg,1
South Korea,F,14,DF,Hong Chul,17/09/1990,27,14,0,Sangju Sangmu,1
South Korea,F,15,MF,Jung Woo-young,14/12/1989,28,28,1,Vissel Kobe,1
South Korea,F,16,MF,Ki Sung-yueng (captain),24/01/1989,29,100,10,Swansea City,1
South Korea,F,17,MF,Lee Jae-sung,10/08/1992,25,33,6,Jeonbuk Hyundai Motors,1
South Korea,F,18,MF,Moon Seon-min,09/06/1992,25,2,1,Incheon United,1
South Korea,F,19,DF,Kim Young-gwon,27/02/1990,28,51,2,Guangzhou Evergrande,1
South Korea,F,20,DF,Jang Hyun-soo,28/09/1991,26,49,3,FC Tokyo,1
South Korea,F,21,GK,Kim Jin-hyeon,06/07/1987,30,14,0,Cerezo Osaka,1
South Korea,F,22,DF,Go Yo-han,10/03/1988,30,19,0,FC Seoul,1
South Korea,F,23,GK,Cho Hyun-woo,25/09/1991,26,5,0,Daegu FC,1
Sweden,F,1,GK,Robin Olsen,08/01/1990,28,17,0,Copenhagen,1
Sweden,F,2,DF,Mikael Lustig,13/12/1986,31,65,6,Celtic,1
Sweden,F,3,DF,Victor Lindelöf,17/07/1994,23,20,1,Manchester United,1
Sweden,F,4,DF,Andreas Granqvist (captain),16/04/1985,33,71,6,Krasnodar,1
Sweden,F,5,DF,Martin Olsson,17/05/1988,30,43,5,Swansea City,1
Sweden,F,6,DF,Ludwig Augustinsson,21/04/1994,24,14,0,Werder Bremen,1
Sweden,F,7,MF,Sebastian Larsson,06/06/1985,32,99,6,Hull City,1
Sweden,F,8,MF,Albin Ekdal,28/07/1989,28,33,0,Hamburger SV,1
Sweden,F,9,FW,Marcus Berg,17/08/1986,31,56,18,Al Ain,1
Sweden,F,10,MF,Emil Forsberg,23/10/1991,26,35,6,RB Leipzig,1
Sweden,F,11,FW,John Guidetti,15/04/1992,26,20,1,Alavés,1
Sweden,F,12,GK,Karl-Johan Johnsson,28/01/1990,28,5,0,Guingamp,1
Sweden,F,13,MF,Gustav Svensson,07/02/1987,31,12,0,Seattle Sounders FC,1
Sweden,F,14,DF,Filip Helander,22/04/1993,25,4,0,Bologna,1
Sweden,F,15,MF,Oscar Hiljemark,28/06/1992,25,21,2,Genoa,1
Sweden,F,16,DF,Emil Krafth,02/08/1994,23,12,0,Bologna,1
Sweden,F,17,MF,Viktor Claesson,02/01/1992,26,21,3,Krasnodar,1
Sweden,F,18,DF,Pontus Jansson,13/02/1991,27,15,0,Leeds United,1
Sweden,F,19,MF,Marcus Rohdén,11/05/1991,27,11,1,Crotone,1
Sweden,F,20,FW,Ola Toivonen,03/07/1986,31,58,13,Toulouse,1
Sweden,F,21,MF,Jimmy Durmaz,22/03/1989,29,45,3,Toulouse,1
Sweden,F,22,FW,Isaac Kiese Thelin,24/06/1992,25,19,2,Waasland-Beveren,1
Sweden,F,23,GK,Kristoffer Nordfeldt,23/06/1989,28,8,0,Swansea City,1
Belgium,G,1,GK,Thibaut Courtois,11/05/1992,26,56,0,Chelsea,1
Belgium,G,2,DF,Toby Alderweireld,02/03/1989,29,72,3,Tottenham Hotspur,1
Belgium,G,3,DF,Thomas Vermaelen,14/11/1985,32,64,1,Barcelona,1
Belgium,G,4,DF,Vincent Kompany,10/04/1986,32,74,4,Manchester City,1
Belgium,G,5,DF,Jan Vertonghen,24/04/1987,31,100,8,Tottenham Hotspur,1
Belgium,G,6,MF,Axel Witsel,12/01/1989,29,85,9,Tianjin Quanjian,1
Belgium,G,7,MF,Kevin De Bruyne,28/06/1991,26,57,13,Manchester City,1
Belgium,G,8,MF,Marouane Fellaini,22/11/1987,30,79,16,Manchester United,1
Belgium,G,9,FW,Romelu Lukaku,13/05/1993,25,64,30,Manchester United,1
Belgium,G,10,FW,Eden Hazard (captain),07/01/1991,27,82,21,Chelsea,1
Belgium,G,11,MF,Yannick Carrasco,04/09/1993,24,23,5,Dalian Yifang,1
Belgium,G,12,GK,Simon Mignolet,06/03/1988,30,21,0,Liverpool,1
Belgium,G,13,GK,Koen Casteels,25/06/1992,25,0,0,VfL Wolfsburg,1
Belgium,G,14,FW,Dries Mertens,06/05/1987,31,65,13,Napoli,1
Belgium,G,15,DF,Thomas Meunier,12/09/1991,26,23,5,Paris Saint-Germain,1
Belgium,G,16,MF,Thorgan Hazard,29/03/1993,25,8,1,Borussia Mönchengladbach,1
Belgium,G,17,MF,Youri Tielemans,07/05/1997,21,7,0,Monaco,1
Belgium,G,18,FW,Adnan Januzaj,05/02/1995,23,7,0,Real Sociedad,1
Belgium,G,19,MF,Mousa Dembélé,16/07/1987,30,74,5,Tottenham Hotspur,1
Belgium,G,20,DF,Dedryck Boyata,28/11/1990,27,5,0,Celtic,1
Belgium,G,21,FW,Michy Batshuayi,02/10/1993,24,13,5,Borussia Dortmund,1
Belgium,G,22,MF,Nacer Chadli,02/08/1989,28,41,4,West Bromwich Albion,1
Belgium,G,23,DF,Leander Dendoncker,15/04/1995,23,4,0,Anderlecht,1
England,G,1,GK,Jordan Pickford,07/03/1994,24,3,0,Everton,1
England,G,2,DF,Kyle Walker,28/05/1990,28,35,0,Manchester City,1
England,G,3,DF,Danny Rose,02/07/1990,27,17,0,Tottenham Hotspur,1
England,G,4,MF,Eric Dier,15/01/1994,24,26,3,Tottenham Hotspur,1
England,G,5,DF,John Stones,28/05/1994,24,25,0,Manchester City,1
England,G,6,DF,Harry Maguire,05/03/1993,25,4,0,Leicester City,1
England,G,7,MF,Jesse Lingard,15/12/1992,25,11,1,Manchester United,1
England,G,8,MF,Jordan Henderson,17/06/1990,27,38,0,Liverpool,1
England,G,9,FW,Harry Kane (captain),28/07/1993,24,24,13,Tottenham Hotspur,1
England,G,10,FW,Raheem Sterling,08/12/1994,23,38,2,Manchester City,1
England,G,11,FW,Jamie Vardy,11/01/1987,31,21,7,Leicester City,1
England,G,12,DF,Kieran Trippier,19/09/1990,27,6,0,Tottenham Hotspur,1
England,G,13,GK,Jack Butland,10/03/1993,25,7,0,Stoke City,1
England,G,14,FW,Danny Welbeck,26/11/1990,27,38,15,Arsenal,1
England,G,15,DF,Gary Cahill,19/12/1985,32,59,5,Chelsea,1
England,G,16,DF,Phil Jones,21/02/1992,26,24,0,Manchester United,1
England,G,17,DF,Fabian Delph,21/11/1989,28,10,0,Manchester City,1
England,G,18,DF,Ashley Young,09/07/1985,32,34,7,Manchester United,1
England,G,19,FW,Marcus Rashford,31/10/1997,20,18,2,Manchester United,1
England,G,20,MF,Dele Alli,11/04/1996,22,24,2,Tottenham Hotspur,1
England,G,21,MF,Ruben Loftus-Cheek,23/01/1996,22,3,0,Crystal Palace,1
England,G,22,DF,Trent Alexander-Arnold,07/10/1998,19,0,0,Liverpool,1
England,G,23,GK,Nick Pope,19/04/1992,26,0,0,Burnley,1
Panama,G,1,GK,Jaime Penedo,26/09/1981,36,130,0,Dinamo București,1
Panama,G,2,DF,Michael Amir Murillo,11/02/1996,22,21,2,New York Red Bulls,1
Panama,G,3,DF,Harold Cummings,01/03/1992,26,51,0,San Jose Earthquakes,1
Panama,G,4,DF,Fidel Escobar,09/01/1995,23,22,1,New York Red Bulls,1
Panama,G,5,DF,Román Torres,20/03/1986,32,110,10,Seattle Sounders FC,1
Panama,G,6,MF,Gabriel Gómez,29/05/1984,34,143,12,Atlético Bucaramanga,1
Panama,G,7,FW,Blas Pérez,13/03/1981,37,117,43,Municipal,1
Panama,G,8,MF,Édgar Bárcenas,23/10/1993,24,28,0,Tapachula,1
Panama,G,9,FW,Gabriel Torres,31/10/1988,29,71,14,Huachipato,1
Panama,G,10,FW,Ismael Díaz,12/05/1997,21,10,2,Deportivo Fabril,1
Panama,G,11,MF,Armando Cooper,26/11/1987,30,97,7,Universidad de Chile,1
Panama,G,12,GK,José Calderón,14/08/1985,32,31,0,Chorrillo,1
Panama,G,13,DF,Adolfo Machado,14/02/1985,33,75,1,Houston Dynamo,1
Panama,G,14,MF,Valentín Pimentel,30/05/1991,27,22,1,Plaza Amador,1
Panama,G,15,DF,Erick Davis,31/03/1991,27,37,0,Dunajská Streda,1
Panama,G,16,FW,Abdiel Arroyo,13/12/1993,24,33,5,Alajuelense,1
Panama,G,17,DF,Luis Ovalle,07/09/1988,29,25,0,Olimpia,1
Panama,G,18,FW,Luis Tejada,28/03/1982,36,105,43,Sport Boys,1
Panama,G,19,MF,Alberto Quintero,18/12/1987,30,89,5,Universitario,1
Panama,G,20,MF,Aníbal Godoy,10/02/1990,28,88,2,San Jose Earthquakes,1
Panama,G,21,MF,José Luis Rodríguez,19/06/1998,19,1,0,Gent,1
Panama,G,22,GK,Álex Rodríguez,05/08/1990,27,6,0,San Francisco,1
Panama,G,23,DF,Felipe Baloy (captain),24/02/1981,37,102,3,Municipal,1
Tunisia,G,1,GK,Farouk Ben Mustapha,01/07/1989,28,15,0,Al-Shabab,1
Tunisia,G,2,DF,Syam Ben Youssef,31/03/1989,29,41,1,Kasımpaşa,1
Tunisia,G,3,DF,Yohan Benalouane,28/03/1987,31,3,0,Leicester City,1
Tunisia,G,4,DF,Yassine Meriah,02/07/1993,24,15,1,CS Sfaxien,1
Tunisia,G,5,DF,Oussama Haddadi,28/01/1992,26,8,0,Dijon,1
Tunisia,G,6,DF,Rami Bedoui,19/01/1990,28,8,0,Étoile du Sahel,1
Tunisia,G,7,FW,Saîf-Eddine Khaoui,27/04/1995,23,4,0,Troyes,1
Tunisia,G,8,FW,Fakhreddine Ben Youssef,23/06/1991,26,38,5,Al-Ettifaq,1
Tunisia,G,9,MF,Anice Badri,18/09/1990,27,6,2,Espérance,1
Tunisia,G,10,FW,Wahbi Khazri,08/02/1991,27,35,12,Rennes,1
Tunisia,G,11,DF,Dylan Bronn,19/06/1995,22,4,0,Gent,1
Tunisia,G,12,DF,Ali Maâloul,01/01/1990,28,45,0,Al Ahly,1
Tunisia,G,13,MF,Ferjani Sassi,18/03/1992,26,38,3,Al-Nassr,1
